"#";LATITUDE;LONGITUDE;NAME
502;35.089;-111.762;US-FUF
503;35.4454;-111.772;US-FWF
504;68.4865;-155.75;US-IVO
505;44.4523;-121.557;US-ME2
506;41.1651;-96.4766;US-NE1
507;29.7381;-82.2188;US-SP1
508;29.7648;-82.2448;US-SP2
509;29.8028;-82.2031;US-SP4
510;31.8214;-110.866;US-SRM
511;38.4316;-120.966;US-TON
512;38.4133;-120.951;US-VAR
513;31.7365;-109.942;US-WKG
514;43.7004;132.163;USSURIYSK
515;16.2;32.93;WADI_ABU_GEIDUM
516;31.737;-109.942;WALNUTGULCH
517;24.918;17.794;WAV_AN_NAMUS
518;32.6349;-106.338;WHITE_SANDS_HELSTF
519;27.2808;-109.912;YAQUI
520;39.309;116.184;YUFA_PEK
521;22.75;-12.4833;ZOUERATE-FENNEC
522;18.88;46.76;Arabia#1
523;20.13;50.96;Arabia#2
524;28.92;43.73;Arabia#3
525;21.74;28.22;Sudan#1
526;19.67;9.81;Niger#1
527;21.37;10.59;Niger#2
528;21.57;7.96;Niger#3
529;27.12;26.1;Egypt#1
530;24.42;13.35;Libya#1
531;25.05;20.48;Libya#2
532;23.15;23.1;Libya#3
533;28.55;23.39;Libya#4
534;23.8;-0.4;Algeria#1
535;26.09;-1.38;Algeria#2
536;30.32;7.66;Algeria#3
537;30.04;5.59;Algeria#4
538;31.02;2.23;Algeria#5
539;19.12;-4.85;Mali#1
540;19.4;-9.3;Mauritania#1
541;20.85;-8.78;Mauritania#2
542;41.85;13.59;Collelongo
543;-37.939;-67.789;25de Mayo_Shurb
544;37.9063;39.4419;Bagci Koyu
545;62.9063;173.451;Chukotka
546;54.4241;159.862;Sopka Taunshits
547;67.1295;92.0044;Krai de Krasnoyarsk
548;48.7634;88.3883;Sptin Nuur
549;32.942;82.7009;Tagchagpu Ri 
550;15.7456;79.1384;Akkacheruvu
551;35.4063;85.4241;Kukushili
552;46.6741;82.4062;Makanchi
553;50.1652;63.3616;Shiyli
554;47.3973;97.4419;Otgon
555;6.57591;81.5669;Kumana National Park
556;15.6027;78.7366;Nallamala Forest
557;15.0223;74.4062;Anshi National Park 
558;30.1107;78.2034;IN-Brk
559;21.863;77.426;IN-Bet
560;45.0563;142.106;JP-Tef
561;44.0889;113.574;CN-Xg2
562;37.9389;126.955;KR-Seo
563;40.3808;108.549;CN-Ku2
564;44.3842;142.319;JP-MBF
565;2.18667;111.843;MY-Sbu
566;50.15;94.45;RU-Tuv
567;44.1342;116.329;CN-Xg1
568;43.5544;116.28;CN-Xi1
569;62.1116;98.4419;Baikyt
570;26.9152;70.058;Muhar
571;61.7188;113.897;Mirni
572;58.9152;114.995;Irkutsk
573;55.5223;119.192;Zabaikalie
574;49.4152;132.478;Jabarovsk
575;49.0223;133.138;Birobidzhan
576;24.7009;114.237;Chebailing
577;62.2545;164.647;Kamchatka
578;50.9509;78.5937;Mayskoye
579;48.3348;73.308;Kayrakty
580;56.567;123.772;Saja_1
581;56.7634;124.201;Saja_2
582;57.1295;124.272;Saja_3
583;62.308;143.603;Saja_4
584;63.2813;146.317;Saja_5
585;61.8438;164.96;Kamchatka_2
586;23.5402;98.2991;Man Na-hkai
587;47.3259;106.094;Tov_1
588;47.1295;107.567;Tov_2
589;15;2;NARMA Niger_1
590;15;12;NARMA Niger_2
591;14.5;-5.75;NARMA Mali_1
592;12.442;2.61161;NARMA Niger_4
593;-20.0293;21.4947;NARMA Botswana_1
594;-2.6875;36.5446;NARMA Tanzania_1 
595;9.28124;15.2723;NARMA Chad
596;4.92412;43.058;Siifan
597;7.49555;48.8884;Jariiban
598;28.3438;40.2276;Hail
599;11.5491;50.9241;Bargaal
600;15.442;8.15622;Zinder
601;14.6741;13.2812;Diffa
602;11.6652;36.558;Amhara
603;-14.6562;37.0223;Niassa_1
604;-14.1294;36.6205;Niassa_2
605;10.9777;50.9419;Somalia_1
606;50.2723;11.433;Somalia_2
607;11.0045;49.8169;Somalia_3
